edited by kushang

age,salary,sd,mean
42,1891,,
39,3687,,
39,2574,,
28,9615,,
42,2286,,
30,1223,,
45,9695,,
25,3784,,
46,7152,,
30,3596,,
46,714,,
38,4232,,
31,6491,,
44,4682,,
44,5146,,
29,5008,,
38,9476,,
50,7999,,
33,8325,,
36,8169,,
47,3875,,
25,6368,,
34,8207,,
48,1088,,
49,6288,,
40,4946,,
45,2814,,
35,6602,,
29,2267,,
32,5752,,
26,6874,,
25,169,,
47,6517,,
28,5262,,
30,10,,
34,9550,,
30,4423,,
26,8049,,
45,7511,,
30,7409,,
46,526,,
33,2787,,
39,3428,,
41,8148,,
31,4480,,
28,7553,,
40,72,,
26,200,,
42,8496,,
44,4574,,
41,5339,,
33,406,,
29,2971,,
42,2631,,
35,8012,,
28,4046,,
50,3373,,
43,1306,,
44,4003,,
48,9930,,
45,110,,
26,5212,,
36,6338,,
31,9507,,
38,2081,,
25,4176,,
37,6487,,
44,1378,,
35,7107,,
50,4678,,
47,1778,,
28,7606,,
43,1689,,
43,3941,,
41,8140,,
32,8062,,
42,7171,,
43,4648,,
37,3762,,
33,6087,,
46,7941,,
29,3618,,
48,6961,,
38,2223,,
41,7797,,
29,3068,,
25,6525,,
32,6760,,
38,5495,,
50,6344,,
40,3860,,
30,2824,,
25,8562,,
30,7697,,
44,9842,,
45,2896,,
41,9838,,
43,2398,,
34,6523,,
44,6935,,
43,5402,,
25,6447,,
40,2762,,
49,9146,,
28,9360,,
47,6622,,
42,413,,
27,9490,,
45,2710,,
40,9251,,
38,4284,,
41,7683,,
50,7215,,
38,4446,,
27,457,,
26,9658,,
46,554,,
39,9191,,
46,3604,,
29,464,,
28,3814,,
31,938,,
26,6325,,
50,6833,,
30,1561,,
36,6124,,
25,2293,,
34,5525,,
43,3637,,
33,5573,,
50,2992,,
38,8894,,
30,4323,,
45,1768,,
29,5703,,
38,7828,,
48,7876,,
42,9233,,
28,4300,,
42,2758,,
28,4641,,
43,5302,,
26,1435,,
32,9308,,
37,9638,,
27,5466,,
48,3141,,
50,8945,,
45,1682,,
42,8348,,
